Scale,Site,Technology,Model,Season,SeasonCode,Ratio_%,Correlation,MAE,RMSE,Sim_Sum,Act_Sum,n
Single,Kelmarsh_Wind,Wind,Windpowerlib (ERA5 100m),Winter (DJF),DJF,120.41,0.918,1457.957,2113.429,14022933.173,11646168.688,2160
Single,Kelmarsh_Wind,Wind,Windpowerlib (ERA5 100m),Spring (MAM),MAM,120.63,0.9162,1156.173,1714.571,8385124.409,6951192.846,2208
Single,Kelmarsh_Wind,Wind,Windpowerlib (ERA5 100m),Summer (JJA),JJA,145.84,0.8342,1437.992,2109.78,7934419.368,5440401.607,2208
Single,Kelmarsh_Wind,Wind,Windpowerlib (ERA5 100m),Autumn (SON),SON,131.3,0.8996,1401.868,2100.097,9793911.564,7459300.416,2184
Single,Kelmarsh_Wind,Wind,Windpowerlib (ERA5 100m),Full Year,FULL,127.43,0.9048,1362.875,2015.899,40136388.514,31497063.557,8760
Single,Kelmarsh_Wind,Wind,Atlite (ERA5),Winter (DJF),DJF,123.63,0.9157,1554.24,2217.617,14398260.524,11646168.688,2160
Single,Kelmarsh_Wind,Wind,Atlite (ERA5),Spring (MAM),MAM,123.35,0.9108,1215.043,1788.894,8574357.128,6951192.846,2208
Single,Kelmarsh_Wind,Wind,Atlite (ERA5),Summer (JJA),JJA,148.72,0.8269,1500.734,2175.028,8090991.935,5440401.607,2208
Single,Kelmarsh_Wind,Wind,Atlite (ERA5),Autumn (SON),SON,135.77,0.8968,1502.978,2213.163,10127446.581,7459300.416,2184
Single,Kelmarsh_Wind,Wind,Atlite (ERA5),Full Year,FULL,130.78,0.9016,1442.477,2105.422,41191056.168,31497063.557,8760
