TSO,TSO_label,Configuration,Ratio_%,Corr,MAE_MW,RMSE_MW,Sim_GWh,Feedin_GWh
DE_50HZ,50Hertz,PVLib ×η_inv×age,144.5,0.9366,988.3,1769.8,21732.6,15037.1
DE_50HZ,50Hertz,PVLib ×η_inv×age×0.62,89.6,0.9366,540.5,964.7,13474.2,15037.1
DE_50HZ,50Hertz,Atlite ×age,140.2,0.9384,928.3,1656.0,21085.5,15037.1
DE_50HZ,50Hertz,Atlite ×age×0.62,86.9,0.9384,550.1,988.4,13073.0,15037.1
DE_AMPRION,Amprion,PVLib ×η_inv×age,137.8,0.9184,749.4,1351.2,16588.9,12037.6
DE_AMPRION,Amprion,PVLib ×η_inv×age×0.62,85.4,0.9184,496.7,868.0,10285.1,12037.6
DE_AMPRION,Amprion,Atlite ×age,139.3,0.9254,764.5,1380.6,16763.5,12037.6
DE_AMPRION,Amprion,Atlite ×age×0.62,86.3,0.9254,494.1,861.3,10393.4,12037.6
DE_TENNET,TenneT,PVLib ×η_inv×age,187.3,0.9292,2232.8,3957.8,38624.0,20621.3
DE_TENNET,TenneT,PVLib ×η_inv×age×0.62,116.1,0.9292,869.5,1484.7,23946.9,20621.3
DE_TENNET,TenneT,Atlite ×age,180.6,0.9362,2086.1,3692.2,37244.3,20621.3
DE_TENNET,TenneT,Atlite ×age×0.62,112.0,0.9362,825.0,1405.5,23091.4,20621.3
DE_TRANSNET,TransnetBW,PVLib ×η_inv×age,155.6,0.9084,590.6,1058.6,11695.6,7516.0
DE_TRANSNET,TransnetBW,PVLib ×η_inv×age×0.62,96.5,0.9084,313.6,539.9,7251.3,7516.0
DE_TRANSNET,TransnetBW,Atlite ×age,153.6,0.9156,575.7,1031.4,11541.2,7516.0
DE_TRANSNET,TransnetBW,Atlite ×age×0.62,95.2,0.9156,313.5,540.4,7155.6,7516.0
DE national,Germany,PVLib ×η_inv×age,160.5,0.9346,4445.4,7783.0,88641.1,55212.0
DE national,Germany,PVLib ×η_inv×age×0.62,99.5,0.9346,1971.4,3336.4,54957.5,55212.0
DE national,Germany,Atlite ×age,156.9,0.9396,4244.9,7417.6,86634.5,55212.0
DE national,Germany,Atlite ×age×0.62,97.3,0.9396,1968.4,3339.3,53713.4,55212.0
